x,y,z
1715,3103,2045
1712,3077,2030
1712,3077,2030
1692,3093,2040
1702,3103,2040
1702,3103,2040
1697,3085,2045
1697,3085,2045
1697,3085,2045
1692,3077,2042
1692,3077,2042
1692,3070,2045
1692,3070,2045
1710,3072,2045
1710,3072,2045
1707,3062,2032
1707,3062,2032
1692,3080,2045
1692,3080,2045
1692,3080,2045
1690,3067,2045
1690,3067,2045
1690,3067,2045
1682,3065,2042
1682,3065,2042
1677,3072,2056
1677,3072,2056
1677,3072,2056
1685,3057,2040
1685,3057,2040
1685,3057,2040
1682,3065,2047
1667,3065,2045
1667,3065,2045
1675,3052,2056
1675,3052,2056
1667,3062,2056
1667,3062,2056
1672,3052,2051
1672,3052,2051
1672,3052,2051
1667,3046,2035
1667,3046,2035
1667,3046,2035
1667,3046,2035
1670,3051,2051
1670,3051,2051
1665,3048,2047
1665,3048,2047
1660,3046,2045
1660,3046,2045
1660,3046,2045
1655,3031,2051
1655,3031,2051
1655,3031,2051
1655,3031,2051
1655,3031,2051
1655,3031,2051
1647,3012,2035
1647,3012,2035
1650,3018,2040
1650,3018,2040
1650,3018,2040
1640,3021,2042
1660,3010,2025
1660,3010,2025
1660,3010,2025
1660,3010,2025
1660,3010,2025
1660,3010,2025
1660,3010,2025
1635,3010,2042
1635,3010,2042
1635,3010,2042
1630,3015,2045
1627,3012,2051
1627,3012,2051
1635,2997,2056
1635,2997,2056
1635,2997,2056
1635,2997,2056
1635,2997,2056
1635,2997,2056
1635,2997,2056
1635,2997,2056
1615,2997,2047
1615,2997,2047
1612,2995,2056
1612,2995,2056
1600,2995,2053
1605,2976,2056
1605,2976,2056
1605,2976,2056
1602,2971,2045
1602,2971,2045
1597,2956,2045
1597,2956,2045
1602,2961,2040
1602,2961,2040
1587,2950,2053
1587,2950,2053
1585,2945,2045
1585,2945,2045
1585,2945,2045
1572,2956,2053
1575,2953,2061
1575,2953,2061
1575,2953,2061
1575,2945,2061
1570,2947,2063
1570,2947,2063
1557,2947,2063
1557,2947,2063
1557,2947,2063
1565,2945,2047
1575,2947,2053
1575,2947,2053
1577,2956,2058
1577,2956,2058
1577,2956,2058
1577,2956,2058
1577,2961,2053
1577,2961,2053
1577,2961,2053
1555,2950,2051
1565,2950,2042
1565,2950,2042
1575,2951,2053
1575,2951,2053
1562,2953,2047
1562,2953,2047
1562,2953,2047
1562,2953,2047
1570,2953,2037
1570,2953,2037
1565,2961,2051
1565,2961,2051
1565,2961,2051
1565,2961,2051
1567,2947,2040
1567,2947,2040
1570,2947,2045
1570,2947,2045
1570,2947,2045
1560,2956,2045
1560,2956,2045
1560,2956,2045
1560,2956,2045
1550,2961,2045
1550,2961,2045
1550,2961,2045
1550,2961,2045
1535,2942,2056
1535,2942,2056
1535,2942,2056
1555,2942,2053
1555,2942,2053
1555,2942,2053
1555,2942,2053
1555,2942,2053
1555,2942,2053
1567,2922,2047
1567,2922,2047
1567,2922,2047
1567,2922,2047
1567,2922,2047
1567,2922,2047
1537,2922,2053
1537,2922,2053
1537,2922,2053
1537,2922,2053
1537,2945,2056
1537,2945,2056
1537,2945,2056
1537,2945,2056
1537,2945,2056
1535,2942,2047
1542,2927,2071
1542,2927,2071
1527,2940,2042
1527,2940,2042
1530,2942,2058
1530,2942,2058
1537,2930,2053
1537,2930,2053
1537,2930,2053
1527,2937,2053
1535,2951,2056
1535,2951,2056
1535,2951,2056
1517,2942,2058
1517,2942,2058
1535,2951,2042
1535,2951,2042
1532,2935,2051
1532,2935,2051
1532,2935,2051
1532,2935,2051
1525,2942,2063
1525,2942,2063
1520,2927,2076
1520,2927,2076
1532,2942,2066
1532,2942,2066
1537,2947,2056
1537,2947,2056
1537,2947,2056
1520,2940,2058
1512,2945,2063
1512,2945,2063
1515,2951,2071
1515,2951,2071
1517,2953,2035
1517,2953,2035
1525,2958,2061
1525,2958,2061
1517,2947,2051
1517,2947,2051
1522,2945,2051
1522,2945,2051
1522,2953,2042
1522,2953,2042
1522,2953,2042
1522,2953,2042
1530,2953,2030
1530,2953,2030
1530,2953,2030
1510,2956,2047
1510,2956,2047
1510,2956,2047
1510,2956,2047
1512,2963,2047
1512,2963,2047
1530,2971,2042
1530,2971,2042
1512,2958,2035
1512,2958,2035
1512,2958,2040
1512,2958,2040
1512,2966,2056
1512,2966,2056
1512,2966,2056
1512,2966,2056
1525,2961,2058
1525,2961,2058
1532,2966,2051
1532,2966,2051
1512,2978,2047
1512,2978,2047
1512,2963,2045
1512,2963,2045
1507,2968,2040
1507,2968,2040
1507,2968,2040
1507,2968,2040
1507,2968,2040
1507,2968,2040
1515,2981,2042
1515,2981,2042
1532,2981,2051
1532,2981,2051
1535,3000,2042
1535,3000,2042
1527,2987,2053
1547,2995,2042
1547,2995,2042
1547,2995,2042
1547,2995,2042
1547,2995,2042
1532,3018,2040
1532,3018,2040
1550,3036,2047
1550,3036,2047
1560,3062,2051
1560,3062,2051
1560,3062,2051
1560,3062,2051
1560,3062,2051
1580,3062,2037
1580,3062,2037
1580,3060,2032
1580,3060,2032
1595,3082,2042
1595,3082,2042
1595,3082,2042
1595,3082,2042
1610,3098,2042
1610,3098,2042
1610,3098,2042
1617,3125,2040
1620,3108,2042
1620,3108,2042
1622,3113,2051
1622,3113,2051
1620,3127,2045
1620,3127,2045
1625,3140,2047
1625,3140,2047
1625,3140,2047
1645,3161,2037
1640,3178,2045
1640,3178,2045
1640,3183,2045
1640,3183,2045
1640,3183,2045
1650,3181,2045
1650,3181,2045
1650,3181,2045
1650,3181,2045
1642,3190,2047
1642,3190,2047
1642,3190,2047
1642,3190,2047
1642,3190,2047
1652,3192,2037
1652,3192,2037
1650,3195,2037
1650,3195,2037
1652,3181,2045
1652,3181,2045
1652,3181,2045
1652,3181,2045
1652,3181,2045
1652,3181,2045
1652,3181,2045
1652,3181,2051
1652,3181,2051
1635,3183,2051
1635,3183,2051
1635,3183,2051
1635,3173,2056
1635,3173,2056
1627,3158,2061
1627,3158,2061
1627,3158,2061
1627,3158,2061
1627,3158,2061
1610,3132,2053
1610,3161,2042
1610,3161,2042
1610,3132,2040
1610,3132,2040
1607,3127,2051
1607,3127,2051
1590,3121,2047
1582,3118,2045
1582,3118,2045
1592,3106,2042
1575,3111,2040
1575,3111,2040
1587,3116,2040
1587,3116,2040
1577,3098,2042
1572,3085,2025
1572,3085,2025
1572,3091,2042
1572,3091,2042
1572,3087,2032
1555,3087,2040
1555,3087,2040
1555,3087,2040
1555,3087,2040
1560,3070,2066
1560,3072,2063
1560,3072,2063
1565,3082,2061
1565,3082,2061
1562,3091,2047
1562,3091,2047
1550,3077,2053
1560,3091,2056
1560,3091,2056
1560,3091,2056
1552,3077,2058
1552,3077,2058
1565,3087,2051
1565,3087,2051
1547,3082,2056
1555,3077,2063
1555,3077,2063
1557,3062,2053
1557,3062,2053
1557,3062,2053
1532,3062,2058
1532,3062,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1530,3055,2058
1517,3041,2051
1517,3041,2051
1517,3041,2051
1517,3041,2051
1517,3041,2051
1517,3041,2051
1517,3041,2051
1517,3041,2051
1510,3036,2063
1510,3036,2063
1510,3036,2063
1510,3036,2063
1510,3036,2063
1507,3038,2061
1507,3038,2061
1507,3046,2056
1507,3046,2056
1512,3033,2071
1512,3033,2071
1512,3033,2071
1502,3017,2045
1502,3017,2045
1502,3017,2045
1502,3017,2045
1492,3023,2053
1492,3023,2053
1492,3023,2053
1495,3026,2056
1495,3026,2056
1517,3017,2053
1517,3017,2053
1497,3021,2061
1497,3021,2061
1497,3021,2061
1497,3021,2061
1490,3028,2063
1490,3028,2063
1502,3038,2063
1502,3038,2063
1502,3038,2063
1502,3038,2063
1502,3038,2063
1502,3031,2063
1502,3031,2063
1502,3031,2063
1502,3031,2063
1482,3015,2063
