x,y,z
1032,4048,2170
1032,4048,2170
1037,4061,2172
1037,4061,2172
1037,4061,2172
1060,4061,2182
1060,4061,2182
1055,4058,2172
1055,4058,2172
1055,4058,2172
1055,4058,2172
1055,4058,2172
1077,4061,2175
1077,4061,2175
1072,4056,2172
1072,4056,2172
1072,4056,2172
1072,4056,2172
1072,4056,2172
1110,4078,2175
1110,4078,2175
1110,4078,2175
1100,4076,2192
1100,4076,2192
1105,4073,2190
1105,4073,2190
1105,4073,2190
1125,4068,2185
1125,4068,2185
1125,4068,2185
1122,4063,2172
1122,4063,2172
1135,4073,2197
1135,4073,2197
1135,4076,2182
1135,4076,2182
1135,4076,2182
1152,4076,2197
1152,4076,2197
1152,4066,2200
1152,4066,2200
1152,4066,2200
1152,4066,2200
1152,4066,2200
1172,4073,2190
1172,4073,2190
1172,4073,2190
1177,4066,2192
1177,4066,2192
1185,4068,2182
1185,4068,2182
1185,4068,2182
1177,4058,2182
1177,4058,2182
1177,4058,2182
1190,4063,2190
1190,4063,2190
1185,4061,2187
1185,4061,2187
1202,4066,2180
1202,4066,2180
1202,4066,2180
1215,4071,2175
1215,4071,2175
1207,4068,2195
1207,4068,2195
1207,4068,2195
1212,4056,2192
1212,4056,2192
1225,4061,2205
1225,4061,2205
1225,4061,2205
1225,4061,2205
1225,4061,2205
1230,4053,2190
1230,4053,2190
1230,4053,2190
1230,4053,2190
1230,4053,2190
1230,4053,2190
1232,4051,2182
1232,4051,2182
1232,4051,2182
1232,4051,2182
1257,4068,2180
1257,4068,2180
1257,4068,2180
1257,4068,2180
1257,4068,2180
1255,4058,2187
1255,4058,2187
1255,4058,2187
1270,4048,2195
1270,4048,2195
1265,4048,2192
1265,4048,2192
1265,4048,2192
1265,4048,2192
1265,4048,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1277,4053,2192
1297,4027,2210
1297,4027,2210
1297,4027,2210
1297,4027,2210
1297,4027,2210
1325,4035,2190
1325,4035,2190
1325,4035,2190
1310,4037,2190
1310,4037,2190
1300,4035,2195
1300,4035,2195
1320,4032,2190
1320,4032,2190
1320,4032,2190
1327,4030,2200
1327,4030,2200
1320,4027,2200
1320,4027,2200
1320,4027,2200
1320,4027,2200
1320,4027,2200
1340,4020,2202
1340,4020,2202
1340,4020,2202
1350,4017,2200
1350,4017,2200
1355,4017,2210
1355,4017,2210
1355,4017,2210
1362,4015,2200
1362,4015,2200
1362,4015,2200
1357,4022,2205
1357,4022,2205
1370,4013,2177
1370,4013,2177
1375,4015,2200
1375,4015,2200
1375,4015,2200
1370,4017,2192
1370,4017,2192
1362,4017,2197
1362,4017,2197
1362,4017,2197
1362,4017,2197
1362,4017,2197
1377,4006,2205
1377,4006,2205
1377,4006,2205
1400,4017,2207
1400,4017,2207
1377,4008,2200
1377,4008,2200
1377,4008,2200
1400,4011,2200
1400,4011,2200
1400,4011,2200
1397,4008,2207
1397,4008,2207
1405,4013,2200
1405,4013,2200
1410,4013,2215
1410,4013,2215
1410,4013,2215
1410,4013,2215
1410,4013,2215
1412,3996,2215
1412,3996,2215
1412,3996,2215
1422,3998,2215
1422,3998,2215
1422,3998,2215
1422,3998,2215
1435,4001,2215
1435,4001,2215
1435,4001,2215
1435,4001,2215
1435,4001,2215
1445,3993,2215
1445,3993,2215
1445,3993,2215
1455,3996,2225
1455,3996,2225
1452,3975,2227
1452,3975,2227
1452,3975,2227
1452,3975,2227
1452,3975,2227
1457,3970,2217
1457,3970,2217
1457,3970,2217
1457,3970,2217
1457,3970,2217
1457,3970,2217
1467,3978,2235
1467,3978,2235
1467,3978,2235
1467,3978,2235
1485,3977,2242
1485,3977,2242
1485,3977,2242
1485,3977,2242
1485,3977,2242
1497,3975,2245
1497,3975,2245
1497,3975,2245
1492,3965,2230
1492,3965,2230
1485,3962,2230
1485,3962,2230
1485,3962,2230
1485,3962,2230
1485,3962,2230
1502,3945,2240
1502,3945,2240
1500,3965,2247
1500,3965,2247
1500,3965,2247
1500,3965,2247
1500,3965,2247
1527,3957,2237
1527,3957,2237
1527,3957,2237
1530,3938,2232
1530,3938,2232
1540,3938,2217
1540,3938,2217
1540,3938,2217
1532,3950,2220
1532,3950,2220
1532,3950,2220
1545,3938,2247
1545,3938,2247
1545,3931,2235
1545,3931,2235
1562,3936,2240
1562,3936,2240
1535,3928,2250
1535,3928,2250
1535,3928,2250
1560,3931,2245
1560,3931,2245
1560,3931,2245
1552,3918,2240
1552,3918,2240
1565,3907,2240
1565,3907,2240
1567,3918,2232
1567,3918,2232
1567,3918,2232
